epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1621,3.39681,5.39386,4.27926,0.00058,0.08497,0.00035,9e-05,3.43108,4.5757,4.15867,0.0955,0.0005,0.0005
2,32.3222,3.48717,5.67806,4.29429,0.00096,0.1732,0.00061,0.00012,3.43113,4.59367,4.15659,0.0900969,0.00109689,0.00109689
3,45.5331,3.24111,5.26727,4.31346,0.00096,0.1732,0.00061,0.00012,3.43009,4.02396,4.15393,0.0846904,0.00169038,0.00169038
4,58.6849,3.35551,5.27576,4.30891,0.00097,0.1732,0.00062,0.00013,3.42915,4.06194,4.15009,0.0792805,0.00228048,0.00228048
5,72.078,3.32781,5.07069,4.30399,0.00098,0.1732,0.00062,0.00012,3.42864,4.09915,4.14578,0.0738672,0.00286719,0.00286719
6,85.1791,3.27817,4.92896,4.29946,0.00098,0.1732,0.00062,0.00012,3.4291,4.13587,4.14104,0.0684505,0.0034505,0.0034505
7,98.2927,3.28433,4.82164,4.25856,0.00098,0.1732,0.00062,0.00013,3.4288,4.16841,4.13739,0.0630304,0.00403042,0.00403042
8,112.251,3.28685,4.94935,4.21128,0.00097,0.1732,0.00061,0.00013,3.42775,4.20448,4.13259,0.0576069,0.00460694,0.00460694
9,125.434,3.39496,4.7295,4.18877,0.00099,0.1732,0.00063,0.00013,3.42877,4.22863,4.12958,0.0521801,0.00518007,0.00518007
10,139.142,3.33721,4.71597,4.15408,0.00098,0.1732,0.00064,0.00012,3.42845,4.24842,4.12686,0.0467498,0.0057498,0.0057498
11,201.719,3.33924,4.66513,4.15182,0.00097,0.1732,0.00062,0.00013,3.43136,4.26617,4.12413,0.0413161,0.00631614,0.00631614
12,216.981,3.30263,4.53755,4.11839,0.00097,0.1732,0.00059,0.00013,3.43267,4.28518,4.12166,0.0358791,0.00687909,0.00687909
13,230.438,3.2943,4.48519,4.10273,0.00091,0.1634,0.00055,0.00013,3.432,4.30001,4.11919,0.0304386,0.00743864,0.00743864
14,243.39,3.15485,4.46562,4.06328,0.00098,0.1732,0.00062,0.00012,3.43115,4.01911,4.11593,0.0249948,0.0079948,0.0079948
15,258.673,3.12113,4.45934,4.03689,0.00097,0.1732,0.00065,0.00014,3.43144,4.04531,4.11507,0.0195476,0.00854756,0.00854756
16,272.965,3.28418,4.42823,4.04873,0.00098,0.1732,0.00067,0.00014,3.43309,4.06811,4.12273,0.0140969,0.00909693,0.00909693
17,286.054,3.11624,4.28029,3.93858,0.00097,0.1732,0.00208,0.0003,3.43537,4.093,4.13747,0.00954743,0.00954743,0.00954743
18,299.111,3.16233,4.2535,3.93489,0.00082,0.11765,0.00245,0.00041,3.42994,4.11648,4.14453,0.00951914,0.00951914,0.00951914
19,312.522,3.10867,4.05847,3.83686,0.00092,0.1634,0.00123,0.00026,3.41306,4.17533,4.30112,0.00949086,0.00949086,0.00949086
20,325.858,2.99238,3.97502,3.78259,0.00082,0.14379,0.00112,0.00018,3.33504,4.1407,4.22726,0.00946257,0.00946257,0.00946257
21,345.132,3.09739,3.88845,3.7314,0.50715,0.03922,0.00993,0.00222,3.35103,6.22366,4.45424,0.00943429,0.00943429,0.00943429
22,360.781,3.0871,3.8675,3.72121,0.00831,0.10458,0.00637,0.00201,3.24051,34.2505,5.78948,0.009406,0.009406,0.009406
23,375.231,3.03277,3.82938,3.67809,0.50202,0.03922,0.00136,0.00031,3.4888,47.2619,5.41497,0.00937771,0.00937771,0.00937771
24,389.581,2.97939,3.79743,3.58782,0.50543,0.02941,0.00087,0.00021,4.12591,14.4027,8.93955,0.00934943,0.00934943,0.00934943
