epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0041,3.11257,3.92158,4.08945,0.00307,0.55407,0.008,0.00264,2.77472,4.84835,4.32612,0.0700744,0.00332506,0.00332506
2,56.5309,3.08701,3.74735,3.82637,0.50953,0.01797,0.00603,0.0018,2.9881,4.24035,3.98439,0.0400678,0.0066518,0.0066518
3,87.8733,2.88107,3.39904,3.41311,0.07098,0.12181,0.03227,0.00846,2.67069,3.41133,3.38459,0.0100547,0.00997195,0.00997195
4,121.124,2.40667,3.08147,2.93833,0.15071,0.22562,0.1044,0.03372,2.31748,3.4807,3.20005,0.0099703,0.0099703,0.0099703
5,154.308,2.1112,2.74681,2.58867,0.37277,0.34256,0.30936,0.13157,1.99582,2.55723,2.74846,0.0099604,0.0099604,0.0099604
6,186.718,1.94584,2.48014,2.4061,0.38492,0.2543,0.24117,0.11854,1.97708,2.72924,2.75111,0.0099505,0.0099505,0.0099505
7,219.865,1.86035,2.40648,2.3393,0.4386,0.40893,0.41296,0.20817,1.84639,2.19399,2.57233,0.0099406,0.0099406,0.0099406
8,253.065,1.7822,2.28099,2.2428,0.20238,0.29519,0.17397,0.07054,2.19587,3.19684,3.11531,0.0099307,0.0099307,0.0099307
9,286.149,1.71719,2.16922,2.17345,0.59847,0.36984,0.46026,0.24064,1.75351,2.14058,2.45856,0.0099208,0.0099208,0.0099208
10,319.192,1.66954,2.11036,2.1141,0.62898,0.45337,0.52395,0.2676,1.74389,1.93497,2.39184,0.0099109,0.0099109,0.0099109
11,352.216,1.61486,1.99249,2.06898,0.63992,0.55268,0.6156,0.33323,1.61372,1.73718,2.26511,0.009901,0.009901,0.009901
12,385.218,1.5878,1.96198,2.03504,0.67328,0.51093,0.58643,0.30992,1.68622,1.81956,2.3364,0.0098911,0.0098911,0.0098911
13,418.208,1.55899,1.89895,2.01081,0.73804,0.57568,0.6686,0.37243,1.58041,1.60242,2.226,0.0098812,0.0098812,0.0098812
14,451.283,1.52446,1.82715,1.97029,0.74697,0.60375,0.69782,0.39539,1.54038,1.524,2.18605,0.0098713,0.0098713,0.0098713
15,483.596,1.48858,1.76754,1.93732,0.74211,0.63072,0.71694,0.41706,1.49601,1.46163,2.10694,0.0098614,0.0098614,0.0098614
16,516.65,1.47806,1.73888,1.92863,0.80905,0.64967,0.74735,0.44011,1.47235,1.42729,2.08583,0.0098515,0.0098515,0.0098515
17,549.604,1.44438,1.68605,1.8953,0.75939,0.64217,0.74871,0.43613,1.46834,1.38905,2.07127,0.0098416,0.0098416,0.0098416
18,582.653,1.45408,1.6666,1.88796,0.80751,0.65354,0.76696,0.4615,1.40605,1.30712,2.00495,0.0098317,0.0098317,0.0098317
19,615.744,1.41936,1.61035,1.86433,0.8487,0.65435,0.76093,0.45646,1.43734,1.26678,2.05185,0.0098218,0.0098218,0.0098218
20,648.6,1.39725,1.56817,1.84661,0.83329,0.69499,0.78746,0.47268,1.41347,1.26259,2.00942,0.0098119,0.0098119,0.0098119
21,681.571,1.39744,1.55101,1.83746,0.79732,0.68527,0.77844,0.47198,1.40467,1.2156,2.04984,0.009802,0.009802,0.009802
22,714.601,1.36811,1.5165,1.80947,0.86538,0.71103,0.82225,0.51916,1.32345,1.12949,1.8964,0.0097921,0.0097921,0.0097921
23,747.582,1.34481,1.47239,1.78616,0.84365,0.71435,0.81173,0.51015,1.33766,1.12315,1.92992,0.0097822,0.0097822,0.0097822
