epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,66.6995,2.52059,2.88636,2.85105,0.1853,0.20588,0.1007,0.04188,2.86934,4.68981,3.60777,0.00884029,0.00884029,0.00884029
43,68.1035,2.55094,2.92733,2.85837,0.30305,0.13399,0.13827,0.04531,2.79049,4.80276,3.47403,0.008812,0.008812,0.008812
44,69.5212,2.50374,2.83386,2.84137,0.39041,0.26967,0.16258,0.05109,2.86601,3.89981,3.35957,0.00878371,0.00878371,0.00878371
45,70.9636,2.5602,2.76428,2.79142,0.31229,0.13072,0.08309,0.02795,3.07414,9.32659,3.76179,0.00875543,0.00875543,0.00875543
46,72.3831,2.46609,2.76965,2.84554,0.19028,0.20367,0.10539,0.0208,3.08729,4.24636,3.57665,0.00872714,0.00872714,0.00872714
47,73.8081,2.48431,2.65947,2.74343,0.22118,0.26144,0.18322,0.05775,2.83956,5.36381,3.402,0.00869886,0.00869886,0.00869886
48,75.2377,2.53352,2.82874,2.79307,0.33783,0.21569,0.15418,0.04307,2.60183,5.90818,3.20359,0.00867057,0.00867057,0.00867057
49,76.6287,2.49869,2.66609,2.84321,0.51616,0.17213,0.19231,0.03823,2.88703,2.85175,3.3588,0.00864229,0.00864229,0.00864229
50,78.0289,2.43134,2.6578,2.74187,0.22038,0.3549,0.20948,0.05674,2.48497,2.69364,3.0582,0.008614,0.008614,0.008614
51,79.4451,2.37661,2.59361,2.77129,0.37764,0.3072,0.27451,0.10006,2.58499,4.84535,3.1082,0.00858571,0.00858571,0.00858571
52,80.8406,2.36309,2.60341,2.63676,0.30951,0.41176,0.27643,0.09962,2.45529,2.65544,3.08697,0.00855743,0.00855743,0.00855743
53,82.2259,2.40989,2.6753,2.72702,0.33467,0.40523,0.28296,0.09592,2.52476,2.98908,3.11373,0.00852914,0.00852914,0.00852914
54,83.6274,2.33987,2.55605,2.78629,0.46391,0.29412,0.32334,0.10032,2.47398,2.52312,3.12443,0.00850086,0.00850086,0.00850086
