epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3782,3.12787,3.94083,4.10963,0.00279,0.50515,0.0119,0.00353,2.77752,4.12374,4.08913,0.0701485,0.00331683,0.00331683
2,48.8496,3.02424,3.6474,3.74287,0.0024,0.48985,0.00503,0.00144,2.8767,3.72423,3.64349,0.0401375,0.00663919,0.00663919
3,70.9342,2.7688,3.29343,3.28034,0.04764,0.06846,0.02101,0.00625,2.65305,3.63463,3.32482,0.0101156,0.00995055,0.00995055
4,92.9485,2.42622,3.03714,2.88967,0.04994,0.07403,0.01944,0.00598,2.43668,3.93898,3.12686,0.0099505,0.0099505,0.0099505
5,114.909,2.13089,2.75793,2.5729,0.2771,0.23299,0.18464,0.07536,2.01474,2.93827,2.73158,0.009934,0.009934,0.009934
6,136.855,1.92392,2.51141,2.3817,0.32374,0.36232,0.27273,0.12398,1.92012,2.64552,2.64218,0.0099175,0.0099175,0.0099175
7,158.737,1.81557,2.34708,2.26872,0.59123,0.29853,0.3535,0.17834,1.85069,2.50982,2.55709,0.009901,0.009901,0.009901
8,180.567,1.72628,2.2106,2.18901,0.45991,0.38546,0.37608,0.17973,1.86865,2.34179,2.59889,0.0098845,0.0098845,0.0098845
9,202.472,1.68498,2.12661,2.13644,0.61996,0.32437,0.43073,0.21059,1.79999,2.42242,2.48072,0.009868,0.009868,0.009868
10,224.353,1.62417,2.01828,2.07132,0.69758,0.40561,0.4962,0.26945,1.68391,2.03151,2.33913,0.0098515,0.0098515,0.0098515
11,246.3,1.57416,1.92589,2.02146,0.43636,0.45599,0.41082,0.21057,1.73515,2.32248,2.39893,0.009835,0.009835,0.009835
12,268.175,1.56654,1.91368,2.01325,0.71729,0.41359,0.54177,0.29749,1.66288,1.8839,2.3008,0.0098185,0.0098185,0.0098185
13,289.98,1.51934,1.81984,1.96421,0.65495,0.38578,0.47031,0.26405,1.69785,2.14251,2.35025,0.009802,0.009802,0.009802
14,311.785,1.50026,1.79451,1.9471,0.7848,0.61615,0.69372,0.37975,1.62547,1.5813,2.31065,0.0097855,0.0097855,0.0097855
15,333.538,1.47433,1.73852,1.9159,0.73822,0.52711,0.65685,0.37765,1.53389,1.66142,2.15479,0.009769,0.009769,0.009769
16,355.278,1.44383,1.65514,1.89073,0.7462,0.63002,0.71257,0.4129,1.51628,1.48538,2.12822,0.0097525,0.0097525,0.0097525
17,376.984,1.4278,1.62241,1.87805,0.77219,0.63368,0.73482,0.44335,1.49076,1.39401,2.08607,0.009736,0.009736,0.009736
