epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6571,3.09563,4.02559,4.1842,0.00267,0.55643,0.00413,0.00179,2.82551,3.39881,4.07816,0.0705882,0.00326797,0.00326797
2,166.646,3.09089,3.81426,4.02693,0.0037,0.4221,0.01495,0.0041,2.85536,3.97132,3.89422,0.0405773,0.00659042,0.00659042
3,250.692,3.04073,3.5924,3.7141,0.00293,0.00601,0.0011,0.00032,3.62602,6.12837,30.4483,0.0105555,0.00990186,0.00990186
4,331.524,2.89014,3.2029,3.34871,0.00535,0.00537,0.00064,0.00024,3.21089,5.45093,3.90437,0.0099505,0.0099505,0.0099505
5,408.27,2.45234,2.87427,2.90157,0.01849,0.11865,0.00864,0.00277,2.45228,13.1723,3.30676,0.009934,0.009934,0.009934
6,487.902,2.11906,2.61676,2.56919,0.16482,0.23347,0.1051,0.03679,2.36104,4.04309,3.40287,0.0099175,0.0099175,0.0099175
7,570.756,1.9622,2.40092,2.38366,0.19706,0.2898,0.16318,0.06922,2.2136,4.31996,3.15436,0.009901,0.009901,0.009901
8,654.414,1.81543,2.2098,2.25546,0.27657,0.21821,0.16996,0.07854,2.08885,3.20893,3.08431,0.0098845,0.0098845,0.0098845
9,740.496,1.71903,2.08884,2.15169,0.73753,0.19548,0.30141,0.14799,1.91999,3.76025,2.6435,0.009868,0.009868,0.009868
10,809.598,1.65869,2.01492,2.09351,0.4883,0.3523,0.38195,0.19225,1.90197,2.30348,2.61347,0.0098515,0.0098515,0.0098515
11,879.659,1.60792,1.95327,2.04352,0.72336,0.35947,0.44404,0.2593,1.75198,2.50782,2.5332,0.009835,0.009835,0.009835
12,972.266,1.57925,1.89655,2.01548,0.55102,0.46319,0.52706,0.29808,1.65181,1.91047,2.34282,0.0098185,0.0098185,0.0098185
13,1103.49,1.56217,1.835,1.98922,0.72342,0.3613,0.43154,0.25529,1.64937,2.42217,2.33555,0.009802,0.009802,0.009802
14,1213.7,1.51768,1.73842,1.95317,0.74728,0.38817,0.52714,0.29573,1.65551,2.02558,2.31941,0.0097855,0.0097855,0.0097855
15,1292.86,1.49444,1.72951,1.9359,0.74818,0.40173,0.49684,0.29732,1.63731,2.38125,2.33562,0.009769,0.009769,0.009769
16,1369.23,1.46513,1.65223,1.88891,0.76599,0.42714,0.51997,0.29451,1.6956,2.06595,2.39204,0.0097525,0.0097525,0.0097525
17,1438.96,1.43948,1.62206,1.86608,0.70565,0.61501,0.6942,0.40416,1.5196,1.53863,2.14242,0.009736,0.009736,0.009736
18,1515.43,1.41305,1.56185,1.848,0.83136,0.4201,0.57496,0.35128,1.57627,2.01492,2.30081,0.0097195,0.0097195,0.0097195
19,1586.46,1.39885,1.53749,1.83508,0.59352,0.43587,0.38733,0.24476,1.69626,2.54196,2.43071,0.009703,0.009703,0.009703
20,1657.56,1.37076,1.4779,1.80403,0.78174,0.58647,0.69116,0.40438,1.51039,1.53944,2.147,0.0096865,0.0096865,0.0096865
21,1729.46,1.36562,1.4539,1.78426,0.75589,0.62636,0.73021,0.44132,1.46662,1.43918,2.02849,0.00967,0.00967,0.00967
22,1794.91,1.34354,1.44273,1.77485,0.74639,0.61917,0.70002,0.39275,1.57678,1.51416,2.2583,0.0096535,0.0096535,0.0096535
